reason_tag,falls
CAMBIO_UNIDAD,26
FINANCIAMIENTO_CREDITO,12
PERSONAL_FAMILIAR_SALUD_LABORAL,12
CAPACIDAD_PAGO,5
PRODUCTO_UNIDAD,3
CONTACTABILIDAD,2
DESISTIMIENTO_SIN_DETALLE,2
DOCUMENTACION_LEGAL,2
PROYECTO_EJECUCION,1
