topic_id,top_terms,top_terms_text
1,"['financieros', 'motivos financieros', 'motivos', 'compra', 'temas', 'tasa', 'salud', 'operacion', 'personales', 'problemas salud', 'problemas', 'napoles']",financieros | motivos financieros | motivos | compra | temas | tasa | salud | operacion | personales | problemas salud | problemas | napoles
2,"['problemas', 'problemas salud', 'comprar', 'ahora', 'comprar ahora', 'financieros', 'personales', 'salud', 'tasa', 'temas', 'operacion', 'motivos']",problemas | problemas salud | comprar | ahora | comprar ahora | financieros | personales | salud | tasa | temas | operacion | motivos
3,"['salud', 'temas', 'problemas salud', 'operacion', 'ahora', 'comprar', 'comprar ahora', 'banco', 'tasa', 'financieros', 'compra', 'motivos']",salud | temas | problemas salud | operacion | ahora | comprar | comprar ahora | banco | tasa | financieros | compra | motivos
4,"['personales', 'motivos personales', 'motivos', 'problemas', 'salud', 'temas', 'tasa', 'operacion', 'problemas salud', 'napoles', 'motivos financieros', 'financieros']",personales | motivos personales | motivos | problemas | salud | temas | tasa | operacion | problemas salud | napoles | motivos financieros | financieros
5,"['napoles', 'departamento', 'banco', 'tasa', 'operacion', 'compra', 'temas', 'salud', 'personales', 'problemas', 'problemas salud', 'motivos']",napoles | departamento | banco | tasa | operacion | compra | temas | salud | personales | problemas | problemas salud | motivos
6,"['economico', 'banco', 'tasa', 'operacion', 'compra', 'salud', 'temas', 'napoles', 'problemas salud', 'problemas', 'personales', 'motivos']",economico | banco | tasa | operacion | compra | salud | temas | napoles | problemas salud | problemas | personales | motivos
