primary_reason_taxonomy,falls
CAMBIO_UNIDAD,26
FINANCIAMIENTO_CREDITO,12
PERSONAL_FAMILIAR_SALUD_LABORAL,10
CAPACIDAD_PAGO,4
CONTACTABILIDAD,1
DESISTIMIENTO_SIN_DETALLE,1
DOCUMENTACION_LEGAL,1
PRODUCTO_UNIDAD,1
PROYECTO_EJECUCION,1
