recommendation_id,evidence_key,lead_id,priority_band,priority_score,policy_rank,sla_minutes,action_owner_proposed,recommended_at,expires_at,recommended_action,action_id,action_taken,action_owner,action_at,action_cost,followed_recommendation,separacion_14d,separacion_observed_at,minuta_60d,minuta_observed_at,minutes_to_action,within_sla
ee03dc92-7b9f-5a4b-9736-45aeaa8973f1,0ad8cbf9a507edfdb7037fb4ff940f71,222226,A,1.853961764066233,27,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
835ea068-9059-55fe-91b6-55f55c2613d3,a73919e9f609675c66c5932e67523f35,222698,A,10.487031316944979,28,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
e6e18b27-865b-5ce6-b29c-eda102aa57cd,f25f17ebe0b88910be6f44f47146b68b,222623,A,9.756686612797578,29,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
43185c79-2c8b-5842-9ed1-479132480986,102eae790d7558a5f1caaef6dc01637f,222936,A,8.031172330849817,30,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
65bbd213-e98c-563b-9b2c-1706ab2691df,a543cfe5ae12b647416dc29abf5c7022,222436,A,7.69081457103036,31,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
dcbee359-df7d-5bbd-96cd-b00b04142841,8b6ffe9b3af362f25781a90eda3ccef8,175557,A,4.030216994106139,32,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
3c65b40c-7f8d-595c-a4f9-0491f5e9a5e3,b72e4819826a8d8a3e0424d7c32792c9,178867,A,1.8211798099080276,34,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
f372b7ef-03aa-53f3-a9d7-26b65ae1a50b,ee00620649339ca2ef9495baeb8f2301,222901,A,10.115951285318634,35,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
8a07dded-8b7f-50fb-85c4-4a6b3fa2bb92,3a8492a345148349e3c66345709a5c24,222602,A,9.409412885208617,36,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
0d08b017-321b-5de4-926b-abd59a84a308,338cf8bc6f8e6acc61e53e468931672e,222942,A,8.031172330849817,37,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
31c6b956-2829-554b-953f-786d5e99506c,75802ba992c60c1199feb5ac2c2616ad,222411,A,7.410194500013407,38,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
18ae1007-3e0b-58ac-b4e4-c08c58c0d1c2,42459b3c1473ba0ad2a0cd78e6c13e2f,212045,A,2.697906414343931,39,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
2618c343-9c26-5e2c-ae88-503994ff4954,a8a72c99c1d0fb5fe33cc9c44f5de683,218597,A,1.9900377147199642,40,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
8399e92a-360d-5631-960d-7d4665612324,fb0dbb2456fd59c55c540df2b7ca28b1,222218,A,1.782146894621243,41,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
717ab5ff-5c29-5623-a6e3-f6da9df2ec78,1939c6f1b9181ecacc30f918031daa1a,222919,A,10.115951285318634,42,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
e71c95ec-3224-5884-b47a-a776dbcbd045,ad936b7b6d81cd6cb52a57c9487d8bd4,222614,A,9.409412885208617,43,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
9506462c-c108-5c4c-81a3-2a8ee12afaeb,06addc646ace6f11d84b3769cbbbeafa,211980,A,2.697906414343931,46,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
8d087fa9-4a1e-59a9-a6d0-f590389e8a42,6432b504aaf7bccecfd1a63a5bb7f565,221934,A,1.888671352656288,47,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
a90ceb84-684f-592d-a80b-0d2d6b892670,664ef696fed1e83400daba0bf687775b,222221,A,1.782146894621243,48,15,SUPERVISOR_COMERCIAL,2026-09-08 00:14:54.201579+00:00,2026-09-09 00:14:54.201579+00:00,CONTACTAR_PRIORIDAD_ALTA,,,,,,,,,,,,False
